Category,Sign-Language Family,Country,Language of Country,Code,,Notes
Taiwanese Sign Language,"JSL, Taiwanese Sign Language ",Taiwan,Chinese,zh-CN,Japanese,____ / Taiwan Ziran Shouyu
Tibetan Sign Language,Village Sign,"Tibet, China",Chinese,zh-CN,local,
Thai Sign Language,"French Sign, ASL",Thailand,Thai,th,"French Sign, ASL","(TSL) ""_________________"" (incl. Hai Yai)"
Yogyakarta Sign Language,"French Sign, ASL",Indonesia,Indonesian,id,"French Sign, ASL:Malaysian?:Indonesian",a variety of Indonesian Sign Language
Yol_u Sign Language,Pama-Nyungan Language,Central Australia,,,local,
,,,,,,
Europe,,,,,,
Albanian Sign Language,Village Sign ,Albania,Albanian,sq,,"""Gjuha e Shenjave Shqipe"""
Armenian Sign Language,Village Sign ,Armenia,Armenian,,isolate,
Austrian Sign Language,"French Sign, Austro-Hungarian Sign",Austria,German,de,French:Austro-Hungarian,"""Österreichische Gebärdensprache"" (ÖGS)"
British Sign Language,"BANZSL, British Sign Language",United Kingdom,English,en,British,(BSL)
Bulgarian Sign Language,"French Sign, Austro-Hungarian Sign",Bulgaria,Bulgarian,bg,French:Austro-Hungarian:Russian,
Catalan Sign Language,Catalan Sign Language,"Catalonia, Spain",Catalan,ca,French?,"(or ""Catalonian Sign Language"") ""Llengua de Signes Catalana"" (LSC)"
Croatian Sign Language,"French Sign, Austro-Hungarian Sign",Croatia,Croatian,hr,French:Austro-Hungarian:Yugoslav,"(Croslan) ""Hrvatski Znakovni Jezik"" (HZJ)[11]"
Czech Sign Language,"French Sign, Austro-Hungarian Sign",Czech Republic ,Czech,cs,French:Austro-Hungarian,"""_esk_ znakov_ jazyk"" (CZJ)"
Cyprus Sign Language,Village Sign ,Cyprus,Greek,el,"French Sign, ASL_GSL","""________ _________ ______"" (CSL) [12]"
Danish Sign Language,"French Sign, Danish Sign Language",Denmark,Danish,da,French,"""Tegnsprog"""
Dutch Sign Language,"French Sign, Dutch Sign Language",Netherlands,Dutch,nl,French,"""Nederlandse Gebarentaal"" (NGT)"
Estonian Sign Language,Village Sign ,Estonia,Estonian,et,,"""Eesti viipekeel"""
Finnish Sign Language,"BANZSL, Swedish Sign",Finland,Finnish,fi,Swedish,"""Suomalainen viittomakieli"" (SVK)"
